URL da vaga;Nome da vaga;Nome da empresa;URL da empresa;Modelo de contrato;Nivel de experiencia;Número de candidatos;Local da sede;Data da postagem da vaga;Horario da realizaçao do Scraping
https://br.linkedin.com/jobs/view/analista-de-marketing-de-conte%C3%BAdo-j%C3%BAnior-at-evoluservices-meios-de-pagamento-3511618001?refId=nQZy1PuXhYFQQJWV0XLsUA%3D%3D&trackingId=1Za%2BsFKWVilAPJsKctmZsw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card;Analista de Marketing de Conteúdo Júnior;EvoluServices Meios de Pagamento;https://br.linkedin.com/company/evoluservices?trk=public_jobs_jserp-result_job-search-card-subtitle;Tempo integral;Não aplicável;Mais de 200 candidaturas;São Paulo, SP;28/02/2023;28/03/2023 20:21
https://br.linkedin.com/jobs/view/analista-j%C3%BAnior-%E2%80%93-comunica%C3%A7%C3%A3o-interna-at-sicoob-credicitrus-3529646059?refId=nQZy1PuXhYFQQJWV0XLsUA%3D%3D&trackingId=fAn74wLJyszAjbxi1H7FfQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card;Analista Júnior – Comunicação Interna;Sicoob Credicitrus;https://br.linkedin.com/company/sicoob-credicitrus?trk=public_jobs_jserp-result_job-search-card-subtitle;Estágio;Não aplicável;117 candidaturas;São Paulo, SP;28/02/2023;28/03/2023 20:21
https://br.linkedin.com/jobs/view/especialista-de-marketing-at-la-moda-3542817953?refId=nQZy1PuXhYFQQJWV0XLsUA%3D%3D&trackingId=FwBLA1PwD6hBrpScskm%2Fug%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card;ESPECIALISTA DE MARKETING;La Moda;https://br.linkedin.com/company/la-moda?trk=public_jobs_jserp-result_job-search-card-subtitle;Tempo integral;Não aplicável;27 candidaturas;Criciúma, SC;28/03/2023;28/03/2023 20:21
https://br.linkedin.com/jobs/view/coordenador-de-growth-marketing-at-sicoob-3527435905?refId=nQZy1PuXhYFQQJWV0XLsUA%3D%3D&trackingId=N6BbzOirKMJRzwhAhi5AqA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card;Coordenador de Growth Marketing;Sicoob;https://br.linkedin.com/company/sicooboficial?trk=public_jobs_jserp-result_job-search-card-subtitle;Tempo integral;Não aplicável;27 candidaturas;Brasília, DF;28/03/2023;28/03/2023 20:21
https://br.linkedin.com/jobs/view/redator-de-social-media-at-empregga-3537986305?refId=nQZy1PuXhYFQQJWV0XLsUA%3D%3D&trackingId=mt5bufe3XLp6gM5mkXaqpw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card;Redator de Social Media;EMPREGGA;https://br.linkedin.com/company/empregga?trk=public_jobs_jserp-result_job-search-card-subtitle;Tempo integral;Não aplicável;27 candidaturas;Curitiba, PR;28/03/2023;28/03/2023 20:21
https://br.linkedin.com/jobs/view/designer-at-grupo-bisutti-3489343804?refId=nQZy1PuXhYFQQJWV0XLsUA%3D%3D&trackingId=PA8C61D2Vm2J4UV63MROPw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card;Designer;Grupo Bisutti;https://br.linkedin.com/company/grupo-bisutti?trk=public_jobs_jserp-result_job-search-card-subtitle;Tempo integral;Assistente;149 candidaturas;São Paulo e Região;28/02/2023;28/03/2023 20:21
https://br.linkedin.com/jobs/view/marketing-social-media-at-la%C3%A7ador-de-ofertas-3530971459?refId=nQZy1PuXhYFQQJWV0XLsUA%3D%3D&trackingId=BJiPajLg6XK5%2Fx7BMReRFQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card;Marketing Social Media;Laçador de Ofertas;https://br.linkedin.com/company/la-ador-de-ofertas?trk=public_jobs_jserp-result_job-search-card-subtitle;Tempo integral;Assistente;Seja um dos 25 primeiros a se candidatar;Porto Alegre, RS;28/02/2023;28/03/2023 20:21
https://br.linkedin.com/jobs/view/social-media-at-arbo-3533893407?refId=nQZy1PuXhYFQQJWV0XLsUA%3D%3D&trackingId=%2BOi5x0bxq2cUuccOutXc7w%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card;Social Media;Arbo;https://br.linkedin.com/company/arboplatform?trk=public_jobs_jserp-result_job-search-card-subtitle;Tempo integral;Assistente;25 candidaturas;Londrina, PR;28/03/2023;28/03/2023 20:21
https://br.linkedin.com/jobs/view/organizador-de-conte%C3%BAdo-reda%C3%A7%C3%A3o-publicit%C3%A1ria-multiplataformas-at-vitru-education-3529648582?refId=nQZy1PuXhYFQQJWV0XLsUA%3D%3D&trackingId=iySBtg8%2FkR3mGxS%2BLHGODg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card;ORGANIZADOR DE CONTEÚDO - REDAÇÃO PUBLICITÁRIA MULTIPLATAFORMAS;Vitru Education;https://br.linkedin.com/company/vitrueducation?trk=public_jobs_jserp-result_job-search-card-subtitle;Tempo integral;Assistente;25 candidaturas;Florianópolis, SC;28/03/2023;28/03/2023 20:21
https://br.linkedin.com/jobs/view/marketing-analista-de-cria%C3%A7%C3%A3o-j%C3%BAnior-at-costa-brava-viagens-e-eventos-3540611861?refId=nQZy1PuXhYFQQJWV0XLsUA%3D%3D&trackingId=RonhZVX2KIhgLONv%2F7luAw%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card;Marketing | Analista de Criação Júnior;Costa Brava Viagens e Eventos;https://br.linkedin.com/company/costa-brava-viagens-e-eventos?trk=public_jobs_jserp-result_job-search-card-subtitle;Tempo integral;Não aplicável;Seja um dos 25 primeiros a se candidatar;Campinas, SP;28/03/2023;28/03/2023 20:21
https://br.linkedin.com/jobs/view/analista-de-eventos-at-jornal-oficina-brasil-3486191741?refId=nQZy1PuXhYFQQJWV0XLsUA%3D%3D&trackingId=JA7OgUxtQf9Nuk3cS%2Fuo9Q%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card;Analista de Eventos;Jornal Oficina Brasil;https://br.linkedin.com/company/grupo-oficina-brasil?trk=public_jobs_jserp-result_job-search-card-subtitle;Tempo integral;Assistente;142 candidaturas;São Paulo e Região;28/02/2023;28/03/2023 20:21
https://br.linkedin.com/jobs/view/coordenador-de-marketing-at-f%C3%A1brica-de-bares-3481930855?refId=nQZy1PuXhYFQQJWV0XLsUA%3D%3D&trackingId=AqQY3Ht5m%2FAnhWcs07kiMg%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card;Coordenador de Marketing;Fábrica de Bares;https://br.linkedin.com/company/fabrica-de-bares?trk=public_jobs_jserp-result_job-search-card-subtitle;Tempo integral;Assistente;39 candidaturas;São Paulo e Região;28/02/2023;28/03/2023 20:21
https://br.linkedin.com/jobs/view/assistente-de-conte%C3%BAdo-at-la-moda-3526265356?refId=nQZy1PuXhYFQQJWV0XLsUA%3D%3D&trackingId=i5cRJmsitvYqj5qvXymU0Q%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card;ASSISTENTE DE CONTEÚDO;La Moda;https://br.linkedin.com/company/la-moda?trk=public_jobs_jserp-result_job-search-card-subtitle;Tempo integral;Assistente;39 candidaturas;Criciúma, SC;28/02/2023;28/03/2023 20:21
https://br.linkedin.com/jobs/view/auxiliar-t%C3%A9cnico-noturno-at-eletromidia-3540564785?refId=nQZy1PuXhYFQQJWV0XLsUA%3D%3D&trackingId=ZtP%2Fc%2BV6N%2BVpsNCTfEO05g%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card;Auxiliar Técnico (Noturno);Eletromidia;https://br.linkedin.com/company/eletromidia?trk=public_jobs_jserp-result_job-search-card-subtitle;Tempo integral;Assistente;56 candidaturas;Rio de Janeiro, RJ;28/03/2023;28/03/2023 20:21
https://br.linkedin.com/jobs/view/designer-j%C3%BAnior-at-evoi-publicidade-3517919447?refId=W5%2FVE%2FY%2FdKVGU4OSely7nQ%3D%3D&trackingId=9cJni11Gr2yNXKgwGgzlrg%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card;Designer - JÚNIOR;Evoi Publicidade;https://br.linkedin.com/company/evoi-publicidade?trk=public_jobs_jserp-result_job-search-card-subtitle;Tempo integral;Assistente;41 candidaturas;São Paulo, SP;14/03/2023;28/03/2023 20:21
https://br.linkedin.com/jobs/view/coordena%C3%A7%C3%A3o-de-comunica%C3%A7%C3%A3o-e-marketing-at-rede-damas-educacional-3529641382?refId=W5%2FVE%2FY%2FdKVGU4OSely7nQ%3D%3D&trackingId=xTpBpstLuCZaSf0u6GSYzw%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card;Coordenação de Comunicação e Marketing;Rede Damas Educacional;https://br.linkedin.com/company/rededamaseducacional?trk=public_jobs_jserp-result_job-search-card-subtitle;Tempo integral;Assistente;41 candidaturas;Recife, PE;14/03/2023;28/03/2023 20:21
